"Report Date/Time: 10/30/2012 03:03 PM","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","","","","Page Number 1"
"","","","","","","","2012 General Election - November 6, 2012","","","","","","",""
"","","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","","",""
"","","","","","","ACTIVE","","","","","","","",""
"","","Precincts","Date/Period","","","","","","","","","","Other","TOTAL"
"","","","","Americans ","","","","Democratic","Green","Libertarian","Republican","Write-In","",""
"","","","Navajo","","61","","","","","","","","","15,579","59,547"
"","","","","","","2","","","","15,241","71","318","25,121","",""
"","","","Pima","","30","","","","","","","","","16,935","57,688"
"","","","","","","6","","","","27,782","94","424","25,688","",""
"","","","Pinal","","60","","","","","","","","","27,988","81,982"
"","","","","","","0","","","","4,727","60","142","6,393","",""
"","","","Yavapai","","15","","","","","","","","","6,509","17,831"
"","","","","","339","","","","","","","","","110,285","369,652"
"","","","","TOTALS","","11","","","","142,137","582","2,334","114,303","",""
"","","Congressional District 2","","","","","","","","","","","","",""
"","","","","","","8","","","","22,577","136","365","30,257","",""
"","","","Cochise","","49","","","","","","","","","27,029","80,372"
"","","","","","","27","","","","109,985","832","2,282","106,330","",""
"","","","Pima","","167","","","","","","","","","92,943","312,399"
"","","","","","216","","","","","","","","","119,972","392,771"
"","","","","TOTALS","","35","","","","132,562","968","2,647","136,587","",""
"","","Congressional District 3","","","","","","","","","","","","",""
"","","","","","","3","","","","28,537","67","623","22,663","",""
"","","","Maricopa","","46","","","","","","","","","31,222","83,115"
"","","","","","","9","","","","60,814","393","1,043","22,907","",""
"","","","Pima","","91","","","","","","","","","40,394","125,560"
"","","","","","","0","","","","134","0","0","13","",""
"","","","Pinal","","1","","","","","","","","","65","212"
"","","","","","","0","","","","12,227","29","128","4,056","",""
"","","","Santa Cruz","","24","","","","","","","","","7,622","24,062"
"","","","","","","2","","","","18,991","31","199","10,485","",""
"","","","Yuma","","27","","","","","","","","","16,720","46,428"
"","","","","","189","","","","","","","","","96,023","279,377"
"","","","","TOTALS","","14","","","","120,703","520","1,993","60,124","",""
"","","Congressional District 4","","","","","","","","","","","","",""
"","","","","","","1","","","","3,777","22","106","9,159","",""
"","","","Gila","","17","","","","","","","","","5,040","18,105"
"","","","","","","1","","","","2,659","18","26","3,499","",""
"","","","La Paz","","12","","","","","","","","","3,554","9,757"
"","","","","","","3","","","","3,998","12","111","9,013","",""
"","","","Maricopa","","18","","","","","","","","","6,158","19,295"
"","","","","","","7","","","","24,626","115","576","47,011","",""
"","","","Mohave","","71","","","","","","","","","42,522","114,857"
"","","","","","","8","","","","16,707","83","482","26,417","",""
"","","","Pinal","","41","","","","","","","","","27,165","70,862"
"","","","","","","4","","","","21,937","210","694","48,976","",""
"","","","Yavapai","","92","","","","","","","","","34,504","106,325"
"","","","","","","4","","","","7,219","16","137","12,008","",""
"","","","Yuma","","15","","","","","","","","","9,720","29,104"
"","","","","","266","","","","","","","","","128,663","368,305"
"","","","","TOTALS","","28","","","","80,923","476","2,132","156,083","",""
"","","Congressional District 5","","","","","","","","","","","","",""
"","","","","","","42","","","","81,494","379","2,353","173,204","",""
"","","","Maricopa","","113","","","","","","","","","122,538","380,010"
"","","","","","113","","","","","","","","","122,538","380,010"
"","","","","TOTALS","","42","","","","81,494","379","2,353","173,204","",""
"","","Congressional District 6","","","","","","","","","","","","",""
"","","","","","","29","","","","94,902","489","2,823","167,205","",""
"","","","Maricopa","","156","","","","","","","","","128,433","393,881"
"","","","","","156","","","","","","","","","128,433","393,881"
"","","","","TOTALS","","29","","","","94,902","489","2,823","167,205","",""
"","","Congressional District 7","","","","","","","","","","","","",""
"","","","","","","9","","","","99,574","350","2,423","37,223","",""
"","","","Maricopa","","105","","","","","","","","","81,246","220,825"
"","","","","","105","","","","","","","","","81,246","220,825"
"","","","","TOTALS","","9","","","","99,574","350","2,423","37,223","",""
"","","Congressional District 8","","","","","","","","","","","","",""
"","","","","","","23","","","","93,513","338","2,149","158,186","",""
"","","","Maricopa","","142","","","","","","","","","120,912","375,121"
"","","","","","142","","","","","","","","","120,912","375,121"
"","","","","TOTALS","","23","","","","93,513","338","2,149","158,186","",""
"","","Congressional District 9","","","","","","","","","","","","",""
"","","","","","","46","","","","107,123","761","3,232","118,077","",""
"","","","Maricopa","","141","","","","","","","","","115,531","344,770"
"","","","","","141","","","","","","","","","115,531","344,770"
"","","","","TOTALS","","46","","","","107,123","761","3,232","118,077","",""
"","","","","STATE TOTALS","","237","","","","952,931","4,863","22,086","1,120,992","",""
"","","","","","1,667","","","","","","","","","1,023,603","3,124,712"
"Report Date/Time: 10/30/2012 03:03 PM","","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","","","Page Number 3"
"","","","","","","","","","2012 General Election - November 6, 2012","","","","","",""
"","","","","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","","","","ACTIVE","","","","","","",""
"","Legislative","","","","Precincts","","","","","","","","","Other","TOTAL"
"","","","","","","Americans ","","","","Democratic","Green","Libertarian","Republican","",""
"","","Legislative District 1","","","","","","","","","","","","",""
"","","","","","","8","","","","6,901","39","242","18,328","",""
"","","","Maricopa","","14","","","","","","","","","12,407","37,925"
"","","","","","","4","","","","17,505","173","596","42,435","",""
"","","","Yavapai","","85","","","","","","","","","28,375","89,088"
"","","","","","99","","","","","","","","","40,782","127,013"
"","","","","TOTALS","","12","","","","24,406","212","838","60,763","",""
"","","Legislative District 2","","","","","","","","","","","","",""
"","","","","","","6","","","","24,778","72","429","17,561","",""
"","","","Pima","","35","","","","","","","","","21,191","64,037"
"","","","","","","0","","","","12,227","29","128","4,056","",""
"","","","Santa Cruz","","24","","","","","","","","","7,622","24,062"
"","","","","","59","","","","","","","","","28,813","88,099"
"","","","","TOTALS","","6","","","","37,005","101","557","21,617","",""
"","","Legislative District 3","","","","","","","","","","","","",""
"","","","","","","9","","","","41,935","370","729","14,698","",""
"","","","Pima","","53","","","","","","","","","26,743","84,484"
"","","","","","53","","","","","","","","","26,743","84,484"
"","","","","TOTALS","","9","","","","41,935","370","729","14,698","",""
"","","Legislative District 4","","","","","","","","","","","","",""
"","","","","","","4","","","","6,650","26","160","8,067","",""
"","","","Maricopa","","18","","","","","","","","","8,455","23,362"
"","","","","","","1","","","","7,162","26","78","2,207","",""
"","","","Pima","","18","","","","","","","","","4,438","13,912"
"","","","","","","0","","","","134","0","0","13","",""
"","","","Pinal","","1","","","","","","","","","65","212"
"","","","","","","2","","","","16,852","25","175","8,056","",""
"","","","Yuma","","22","","","","","","","","","14,220","39,330"
"","","","","","59","","","","","","","","","27,178","76,816"
"","","","","TOTALS","","7","","","","30,798","77","413","18,343","",""
"","","Legislative District 5","","","","","","","","","","","","",""
"","","","","","","1","","","","2,659","18","26","3,499","",""
"","","","La Paz","","12","","","","","","","","","3,554","9,757"
"","","","","","","7","","","","24,626","115","576","47,011","",""
"","","","Mohave","","71","","","","","","","","","42,522","114,857"
"","","","","","83","","","","","","","","","46,076","124,614"
"","","","","TOTALS","","8","","","","27,285","133","602","50,510","",""
"","","Legislative District 6","","","","","","","","","","","","",""
"","","","","","","2","","","","16,204","224","569","14,371","",""
"","","","Coconino","","45","","","","","","","","","16,820","48,190"
"","","","","","","1","","","","3,830","22","107","9,255","",""
"","","","Gila","","18","","","","","","","","","5,096","18,311"
"","","","","","","0","","","","3,251","11","71","8,316","",""
"","","","Navajo","","16","","","","","","","","","3,515","15,164"
"","","","","","","0","","","","9,159","97","240","12,934","",""
"","","","Yavapai","","22","","","","","","","","","12,638","35,068"
"","","","","","101","","","","","","","","","38,069","116,733"
"","","","","TOTALS","","3","","","","32,444","354","987","44,876","",""
"","","Legislative District 7","","","","","","","","","","","","",""
"","","","","","","0","","","","26,529","37","164","7,597","",""
"","","","Apache","","45","","","","","","","","","11,541","45,868"
"","","","","","","0","","","","10,651","25","242","4,253","",""
"","","","Coconino","","26","","","","","","","","","6,237","21,408"
"","","","","","","0","","","","2,332","1","10","222","",""
"","","","Gila","","3","","","","","","","","","963","3,528"
"","","","","","","0","","","","1,463","0","2","200","",""
"","","","Graham","","2","","","","","","","","","568","2,233"
"","","","","","","0","","","","285","0","1","123","",""
"","","","Mohave","","2","","","","","","","","","244","653"
"","","","","","","1","","","","21,184","45","271","10,818","",""
"","","","Navajo","","45","","","","","","","","","12,064","44,383"
"","","","","","","0","","","","0","0","0","0","",""
"","","","Pinal","","1","","","","","","","","","0","0"
"","","","","","124","","","","","","","","","31,617","118,073"
"","","","","TOTALS","","1","","","","62,444","108","690","23,213","",""
"","","Legislative District 8","","","","","","","","","","","","",""
"","","","","","","0","","","","5,207","7","44","2,644","",""
"","","","Gila","","18","","","","","","","","","2,420","10,322"
"","","","","","","2","","","","23,968","87","378","21,295","",""
"","","","Pinal","","51","","","","","","","","","24,594","70,324"
"","","","","","69","","","","","","","","","27,014","80,646"
"","","","","TOTALS","","2","","","","29,175","94","422","23,939","",""
"","","Legislative District 9","","","","","","","","","","","","",""
"","","","","","","7","","","","43,475","402","920","38,829","",""
"","","","Pima","","64","","","","","","","","","34,615","118,248"
"","","","","","64","","","","","","","","","34,615","118,248"
"","","","","TOTALS","","7","","","","43,475","402","920","38,829","",""
"","","Legislative District 10","","","","","","","","","","","","",""
"","","","","","","9","","","","42,931","301","862","38,933","",""
"","","","Pima","","62","","","","","","","","","33,908","116,944"
"","","","","","62","","","","","","","","","33,908","116,944"
"","","","","TOTALS","","9","","","","42,931","301","862","38,933","",""
"","","Legislative District 11","","","","","","","","","","","","",""
"","","","","","","3","","","","19,411","94","431","30,568","",""
"","","","Pima","","39","","","","","","","","","21,251","71,758"
"","","","","","","6","","","","11,450","50","280","15,473","",""
"","","","Pinal","","27","","","","","","","","","15,563","42,822"
"","","","","","66","","","","","","","","","36,814","114,580"
"","","","","TOTALS","","9","","","","30,861","144","711","46,041","",""
"","","Legislative District 12","","","","","","","","","","","","",""
"","","","","","","11","","","","23,121","118","770","56,546","",""
"","","","Maricopa","","34","","","","","","","","","37,187","117,753"
"","","","","","","0","","","","235","1","12","508","",""
"","","","Pinal","","1","","","","","","","","","405","1,161"
"","","","","","35","","","","","","","","","37,592","118,914"
"","","","","TOTALS","","11","","","","23,356","119","782","57,054","",""
"Report Date/Time: 10/30/2012 03:03 PM","","","","","","","STATE OF ARIZONA REGISTRATION REPORT","","","","","","","","Page Number 4"
"","","","","","","","","","2012 General Election - November 6, 2012","","","","","",""
"","","","","","","","","","Compiled and Issued by the Arizona Secretary of State","","","","","",""
"","","","","","","","","ACTIVE","","","","","","",""
"","Legislative","","","","Precincts","","","","","","","","","Other","TOTAL"
"","","","","","","Americans ","","","","Democratic","Green","Libertarian","Republican","",""
"","","Legislative District 13","","","","","","","","","","","","",""
"","","","","","","3","","","","13,934","45","346","25,104","",""
"","","","Maricopa","","29","","","","","","","","","20,034","59,466"
"","","","","","","0","","","","0","0","0","0","",""
"","","","Yavapai","","0","","","","","","","","","0","0"
"","","","","","","4","","","","9,358","22","161","14,437","",""
"","","","Yuma","","20","","","","","","","","","12,220","36,202"
"","","","","","49","","","","","","","","","32,254","95,668"
"","","","","TOTALS","","7","","","","23,292","67","507","39,541","",""
"","","Legislative District 14","","","","","","","","","","","","",""
"","","","","","","8","","","","22,577","136","365","30,257","",""
"","","","Cochise","","49","","","","","","","","","27,029","80,372"
"","","","","","","0","","","","4,546","4","47","7,314","",""
"","","","Graham","","20","","","","","","","","","3,108","15,019"
"","","","","","","0","","","","2,283","3","21","1,091","",""
"","","","Greenlee","","8","","","","","","","","","964","4,362"
"","","","","","","3","","","","6,348","31","194","11,562","",""
"","","","Pima","","17","","","","","","","","","8,126","26,264"
"","","","","","94","","","","","","","","","39,227","126,017"
"","","","","TOTALS","","11","","","","35,754","174","627","50,224","",""
"","","Legislative District 15","","","","","","","","","","","","",""
"","","","","","","10","","","","27,426","144","908","52,943","",""
"","","","Maricopa","","42","","","","","","","","","38,920","120,351"
"","","","","","42","","","","","","","","","38,920","120,351"
